ID;Animatronic;Réalisé;Type;Salle;Nuit;Heure;Chance;weight_png;Weight;RetryWeight;LastNightBoost;Déclencheur;;;Son;Script JS;Terminal;Journal;Cassette;RequiresEvent;Description;Lore
JER-012;Bonnie;X;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin de Freddy;Jeremy admirait les animatroniques
JER-013;Bonnie;X;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin de Bonnie;Bonnie devient son refuge
JER-014;Bonnie;X;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;;;;;Dessin d'une maison;Il voulait rentrer chez lui
JER-015;Bonnie;X;Objet;Backstage;4;Toute nuit;5%;;;;;Observer;;;—;;CHILDREN_ART;;;;Dessin d'une famille;Les parents ne reviendront jamais
;;;;;;;;;;;;;;;;;;;;;;
FRT-010;Foxy;;IA;Pirate Cove;5;03h30;2%;;;;;Retour caméra;;;toys.wav;;;;;;Foxy aligne soigneusement tous les jouets;Fritz termine sa partie
SUS-029;Chica;X;IA;Stage;5;03h30;3%;;;;;Silence;;;static.wav;;;;;;Chica semble écouter;Elle entend encore le chien
FRT-025;Foxy;;IA;Pirate Cove;5;03h45;3%;;;;;Observer 10 s;;;creak.wav;;;;;;Foxy regarde le coffre ouvert;Il cherche un trésor
GAB-024;Freddy;;Overlay;Stage;5;04h00;4%;;;;;Retour caméra;;;reverse.wav;;GUESTS;;;;Les aiguilles tournent à l'envers;La fête revient en arrière
JER-030;Bonnie;;IA;Backstage;5;04h00;4%;;;;;Observer 10s;;;drop.wav;;;;;;Bonnie repose doucement le crayon;Le dessin est enfin terminé
SUS-010;Chica;;IA;Stage;5;04h00;2%;;;;;Retour caméra;;;breathe.wav;;;;;;Chica regarde le joueur sans bouger;Confusion avec Michael
SUS-030;Chica;X;IA;Stage;5;04h30;2%;;;;;Retour caméra;;;door.wav;;;;;;Chica s'arrête devant une porte fermée;Elle attend toujours le retour de Susie
GAB-015;Freddy;X;IA;Dining Area;5;05h00;3%;;;;;Retour caméra;;;breathe.wav;;;;;;Freddy fixe une boîte cadeau;Cadeau jamais ouvert
FRT-020;Foxy;;Overlay;Pirate Cove;5;05h55;3%;;;;;Heure;;;reset.wav;;;;;;Tous les objets reviennent à leur place;Comme si rien ne s'était passé
FRT-030;Foxy;;Décor;Pirate Cove;5;05h55;2%;;;;;Heure;;;toys.wav;;;;;;Jouets parfaitement rangés;Fritz a terminé de jouer
GAB-025;Freddy;;Glitch;Dining Area;5;05h55;2%;;;;;Heure;;;glitch.wav;;;;;;L'horloge revient à 00:00;Boucle éternelle
FRT-019;Foxy;;Overlay;Pirate Cove;5;Retour caméra;4%;;;;;Retour caméra;;;creak.wav;;;;;;Le coffre est refermé;La partie est terminée
FRT-028;Foxy;;Objet;Dining Area;5;Toute nuit;4%;;;;;Observer;;;wheel.wav;;STAGE_PROP;;;;Voiture sous une table;Fritz s'est caché en jouant
FRT-029;Foxy;;Objet;Pirate Cove;5;Toute nuit;3%;;;;;Observer;;;coins.wav;;;;;;Trésor sorti du coffre;Le jeu touche à sa fin
JER-025;Bonnie;;Objet;Supply Closet;5;Toute nuit;5%;;;;;Observer;;;pencil.wav;;SCANNER;;;;Un seul crayon reste sur la table;Il ne reste qu'un souvenir
SUS-009;Chica;;Objet;Dining Area;5;Toute nuit;4%;;;;;Observer;;;cloth.wav;;;;;;Ruban jaune au sol;Susie
SUS-020;Chica;;Objet;Dining Area;5;Toute nuit;3%;;;;;Observer;;;crack.wav;;;;;;Cupcake légèrement fissuré;Même lui se détériore
SUS-025;Chica;;Son;Kitchen;5;Toute nuit;3%;;;;;Silence;;;pant.wav;;REPORT_87;;;;Petit halètement très discret;Comme un chien fatigué
